Task ID,Type,ID,Medium,Constraints,Expected value,Description,Category
U022,Metabolite,ump_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,UMP biosynthesis (pyrimidine),Nucleotide
U023,Metabolite,cmp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,CMP biosynthesis (pyrimidine),Nucleotide
U024,Metabolite,datp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,dATP biosynthesis (DNA),Nucleotide
U025,Metabolite,dgtp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,dGTP biosynthesis (DNA),Nucleotide
U026,Metabolite,dctp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,dCTP biosynthesis (DNA),Nucleotide
U027,Metabolite,dttp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,dTTP biosynthesis (DNA),Nucleotide
U028,Metabolite,nad_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,NAD+ production (redox cofactor),Cofactor
U029,Metabolite,nadp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,NADP+ production (biosynthesis cofactor),Cofactor
U030,Metabolite,coa_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Coenzyme A production,Cofactor
U031,Metabolite,fad_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,FAD production,Cofactor
U032,Metabolite,thf_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Tetrahydrofolate production,Cofactor
U033,Metabolite,amet_c,glc__D_e(-10.0);nh4_e(-1000.0);so4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,S-Adenosylmethionine (methyl donor),Cofactor
U034,Metabolite,malcoa_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Malonyl-CoA (fatty acid synthesis),Lipid
U035,Metabolite,glyc3p_c,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Glycerol-3-phosphate (lipid backbone),Lipid
U036,Reaction,ATPM,glc__D_e(-10.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,Maintenance ATP requirement,Maintenance
U037,Metabolite,atp_c,glc__D_e(-1.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_e(-1000.0#1000.0),<50.0,ATP/glucose ratio should be realistic (P/O ratio constraint),Constraint
U038,Metabolite,gtp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,GTP production (protein synthesis),Energy
U039,Metabolite,ctp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,CTP production (lipid biosynthesis),Energy
U040,Metabolite,utp_c,glc__D_e(-10.0);nh4_e(-1000.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),>0.0,UTP production (polysaccharide biosynthesis),Energy
U041,Metabolite,atp_c,o2_e(-1000.0);nh4_e(-1000.0);pi_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No ATP production without carbon source (glucose required),Negative Constraint
U042,Metabolite,glu__L_c,glc__D_e(-10.0);nh4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No glutamate synthesis without nitrogen source (NH4 required),Negative Constraint
U043,Metabolite,ala__L_c,glc__D_e(-10.0);nh4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No alanine synthesis without nitrogen source,Negative Constraint
U044,Metabolite,cys__L_c,glc__D_e(-10.0);nh4_e(-1000.0);so4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No cysteine synthesis without sulfur source (SO4 required),Negative Constraint
U045,Metabolite,met__L_c,glc__D_e(-10.0);nh4_e(-1000.0);so4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No methionine synthesis without sulfur source,Negative Constraint
U046,Metabolite,pheme_c,glc__D_e(-10.0);nh4_e(-1000.0);fe2_e(0.0);fe3_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No heme production without iron (Fe2+ required),Negative Constraint
U047,Metabolite,amp_c,glc__D_e(-10.0);nh4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No nucleotide synthesis without nitrogen (purine ring requires N),Negative Constraint
U048,Metabolite,datp_c,glc__D_e(-10.0);nh4_e(0.0);o2_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No DNA precursors without nitrogen source,Negative Constraint
U049,Reaction,CYTBO3_4pp,glc__D_e(-10.0);o2_e(0.0),EX_o2_e(0.0#0.0),=0.0,No cytochrome oxidase without oxygen (aerobic respiration),Negative Constraint
U050,Metabolite,glyc3p_c,o2_e(-1000.0);nh4_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No glycerol-3P without carbon source (lipid backbone requires glucose),Negative Constraint
U051,Metabolite,r5p_c,o2_e(-1000.0);nh4_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No ribose-5P without carbon source (PPP requires glucose),Negative Constraint
U052,Metabolite,prpp_c,o2_e(-1000.0);nh4_e(-1000.0),EX_o2_e(-1000.0#1000.0),=0.0,No PRPP without carbon source (nucleotide precursor requires glucose),Negative Constraint
